# BUSCO version is: 4.0.5 
# The lineage dataset is: fungi_odb10 (Creation date: 2019-12-13, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_88	35564	52196	3183.7	3618	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_660	3528	16113	2787.9	2529	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	scaffold_3	164524	170945	3060.1	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	scaffold_234	29078	35633	3129.1	1784	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	scaffold_120	12952	19267	1686.1	1354	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	scaffold_168	21384	30145	1331.1	1773	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	scaffold_210	21993	30171	2296.9	2103	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	scaffold_134	43813	53577	3107.9	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	scaffold_959	946	7486	633.3	972	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	scaffold_743	249	7095	655.5	1157	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	scaffold_646	9844	16963	928.7	807	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	scaffold_270	32711	37093	1175.5	912	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	scaffold_154	27641	32260	652.1	723	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	scaffold_700	5124	12392	1977.4	1451	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	scaffold_24	53854	61129	1167.1	1334	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	scaffold_279	28298	34848	592.6	880	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_108	30837	38483	492.7	573	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	scaffold_531	4196	12091	2218.4	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	scaffold_33	24718	30673	2196.6	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	scaffold_19	38140	42983	1381.9	1106	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	scaffold_60	64260	71268	703.7	856	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	scaffold_562	7965	18002	895.2	1028	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	scaffold_540	598	5347	482.0	907	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	scaffold_19	86402	92592	997.8	1108	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	scaffold_94	54293	58434	1519.2	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	scaffold_675	7466	13614	312.5	478	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	scaffold_194	27195	34491	1542.4	1260	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	scaffold_95	47856	52285	319.3	769	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	scaffold_72	57244	64248	1091.7	1403	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	scaffold_133	33097	36861	1350.0	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	scaffold_143	15094	22043	1160.5	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	scaffold_354	10700	16087	1758.6	1304	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	scaffold_119	47479	51701	1181.4	886	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	scaffold_49	41261	45378	487.1	798	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	scaffold_166	1947	6131	863.0	699	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	scaffold_221	32009	37279	786.4	577	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Missing
20600at4751	Complete	scaffold_597	4003	7216	1267.3	762	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	scaffold_330	9318	13337	1102.0	893	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	scaffold_202	24525	29241	842.5	660	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	scaffold_432	18588	23594	753.0	901	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	scaffold_585	8986	12947	1238.7	832	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	scaffold_401	17868	21532	303.7	439	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Missing
23856at4751	Complete	scaffold_428	18097	22747	849.3	1015	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	scaffold_723	652	5483	607.0	781	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	scaffold_73	9696	14305	863.2	727	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	scaffold_133	812	4434	172.4	577	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	scaffold_8	40602	44369	1476.0	953	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	scaffold_21	66178	70495	497.4	600	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	scaffold_72	42992	47023	549.7	608	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	scaffold_286	30643	33954	237.7	573	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	scaffold_139	44832	49068	680.8	846	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	scaffold_229	32183	35810	815.8	676	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	scaffold_505	2566	5650	744.9	644	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Complete	scaffold_17	22809	30035	712.8	763	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	scaffold_537	8163	13491	885.6	862	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	scaffold_268	16721	21304	444.2	708	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	scaffold_168	4507	6492	660.8	516	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	scaffold_50	30078	35401	884.4	506	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	scaffold_941	762	4746	242.8	407	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	scaffold_120	6986	10431	361.2	569	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	scaffold_368	16243	20658	714.5	673	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	scaffold_152	19889	25886	395.9	577	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	scaffold_16	39046	44729	157.6	404	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	scaffold_106	11432	16591	549.5	592	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	scaffold_190	4858	9259	993.7	732	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	scaffold_158	12989	25726	688.7	897	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	scaffold_197	2701	8244	782.8	856	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	scaffold_29	16532	19549	588.1	718	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	scaffold_479	5378	7852	411.2	452	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	scaffold_9	33658	36231	747.7	664	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	scaffold_381	23871	27349	1177.9	844	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Duplicated	scaffold_449	19270	24400	649.8	493	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49476at4751	Duplicated	scaffold_92	12637	15297	589.7	491	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Duplicated	scaffold_129	44755	47644	804.4	611	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
49967at4751	Duplicated	scaffold_358	17292	21283	786.7	608	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	scaffold_130	39654	41951	539.7	495	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	scaffold_1133	429	3754	929.5	644	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	scaffold_53	13409	18354	571.8	494	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	scaffold_705	9467	12815	820.3	661	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Missing
54252at4751	Complete	scaffold_831	1	4435	846.6	704	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	scaffold_80	5217	8177	448.6	479	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	scaffold_89	6204	9740	345.6	427	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Missing
56729at4751	Complete	scaffold_323	23964	27649	1011.5	793	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	scaffold_219	26724	30526	1003.3	683	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	scaffold_79	45687	48598	133.2	544	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	scaffold_316	7600	11128	798.3	646	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	scaffold_370	16409	20086	262.5	366	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Duplicated	scaffold_77	25319	29246	525.9	614	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61438at4751	Duplicated	scaffold_295	8722	12676	617.1	680	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
