# BUSCO version is: 4.0.5 
# The lineage dataset is: fungi_odb10 (Creation date: 2019-12-13, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_261	9664	26296	3183.7	3618	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_664	547	13132	2787.9	2529	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	scaffold_174	11433	17854	3060.1	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	scaffold_236	7383	13938	3129.1	1784	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	scaffold_135	12792	19107	1686.1	1354	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	scaffold_148	26551	35312	1331.1	1773	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	scaffold_215	21993	30171	2296.9	2103	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	scaffold_535	8992	18756	3107.9	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	scaffold_1015	1	6919	633.4	972	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	scaffold_762	6455	13301	655.5	1157	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	scaffold_647	170	7284	928.6	807	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	scaffold_195	43611	47993	1175.5	912	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	scaffold_179	27641	32260	652.1	723	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	scaffold_672	5124	12392	1977.4	1451	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	scaffold_33	34681	41956	1167.1	1334	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	scaffold_286	28298	34848	592.6	880	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_118	23015	30661	492.7	573	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	scaffold_531	12596	18609	2219.5	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	scaffold_9	63538	69493	2196.0	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	scaffold_46	42755	47598	1381.9	1106	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	scaffold_68	5473	10193	706.5	857	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	scaffold_302	18414	28674	894.3	1027	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	scaffold_546	16779	21528	482.0	907	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	scaffold_525	16746	22936	997.8	1108	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	scaffold_404	18144	22285	1519.2	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	scaffold_418	7638	13786	312.5	478	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	scaffold_209	27195	34525	1404.3	1101	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	scaffold_63	47676	52105	319.3	769	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	scaffold_85	57526	64530	1091.7	1403	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	scaffold_180	27850	31614	1350.0	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	scaffold_203	7118	14067	1160.5	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	scaffold_361	16499	21886	1758.6	1304	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	scaffold_133	7600	11822	1181.4	886	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	scaffold_81	32045	36162	487.1	798	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	scaffold_182	44940	49124	863.0	699	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	scaffold_223	32005	37275	786.4	577	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	scaffold_320	28401	32895	390.2	674	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	scaffold_605	4003	7216	1267.3	762	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	scaffold_341	9224	13243	1102.0	893	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	scaffold_214	16535	21251	842.5	660	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	scaffold_446	3366	8372	753.0	901	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	scaffold_351	23868	27829	1238.7	832	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	scaffold_391	18950	22614	303.7	439	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Missing
23856at4751	Complete	scaffold_424	18945	23595	849.3	1015	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	scaffold_735	742	5573	607.0	781	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	scaffold_8	56602	61211	863.2	727	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	scaffold_686	11946	15568	172.4	577	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
