# BUSCO version is: 4.0.5 
# The lineage dataset is: fungi_odb10 (Creation date: 2019-12-13, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_169	11838	28479	3180.3	3280	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_96	78488	91063	2738.9	2612	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	scaffold_171	21777	28196	2970.2	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	scaffold_136	6959	13572	3144.5	1786	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	scaffold_46	74845	81203	1707.6	1365	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	scaffold_125	38309	47143	1355.5	1710	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	scaffold_45	166694	175802	2312.9	1958	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	scaffold_119	47748	55281	3145.4	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	scaffold_114	71703	78225	725.2	940	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	scaffold_40	77913	84810	650.7	1182	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	scaffold_9	154057	158695	932.2	804	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	scaffold_7	271107	275516	1183.6	923	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	scaffold_91	107001	112866	653.2	780	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	scaffold_132	5718	13009	1976.9	1452	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	scaffold_45	72347	79554	1178.1	1373	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	scaffold_4	152571	157051	591.5	810	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_55	124565	132596	641.2	664	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	scaffold_29	135042	141112	2186.6	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	scaffold_10	168020	173850	2187.2	1400	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	scaffold_25	167718	172565	1390.7	1061	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	scaffold_42	151443	156188	701.5	863	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	scaffold_71	109128	118339	700.7	957	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	scaffold_83	45639	50409	516.4	935	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	scaffold_25	114274	124718	941.8	989	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	scaffold_277	6213	10386	1518.3	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	scaffold_84	105412	111814	328.0	489	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	scaffold_190	32729	42280	1519.7	1241	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
