# BUSCO version is: 4.0.5 
# The lineage dataset is: fungi_odb10 (Creation date: 2019-12-13, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
494at4751	Complete	scaffold_4	15413	32030	3197.6	3178	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_75	38769	51344	2738.5	2660	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	scaffold_12	126706	133118	3037.4	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	scaffold_53	181096	187704	3146.3	1801	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	scaffold_2	92305	98654	1698.3	1363	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	scaffold_12	555404	564230	1377.5	1725	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	scaffold_10	203850	212953	2320.4	1943	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	scaffold_23	300392	307922	3145.1	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	scaffold_4	1136634	1143151	728.2	960	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	scaffold_6	622321	634127	644.9	1153	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	scaffold_15	550969	555832	930.9	806	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	scaffold_1	1758826	1763235	1180.4	915	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	scaffold_7	670410	675111	631.9	750	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	scaffold_14	157488	164654	1977.2	1454	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	scaffold_10	322023	329223	1162.1	1356	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	scaffold_30	108708	113187	593.3	816	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_11	240398	247978	570.7	597	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	scaffold_8	685044	691021	2202.6	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	scaffold_49	97975	104041	2162.0	1409	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	scaffold_23	61520	66363	1389.2	1060	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	scaffold_58	149844	154591	699.2	890	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	scaffold_3	1151292	1161809	785.6	1009	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	scaffold_8	188296	193065	523.8	874	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	scaffold_23	110372	120838	934.7	988	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	scaffold_25	251193	255364	1517.7	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	scaffold_43	199397	205918	328.2	491	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	scaffold_54	47923	54390	1532.9	1254	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	scaffold_2	1818174	1822137	439.6	743	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	scaffold_1	3094267	3100786	1032.0	1225	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	scaffold_3	691861	695648	1357.3	798	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	scaffold_24	217486	224480	1161.9	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	scaffold_19	241274	246764	1771.4	1301	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	scaffold_15	354354	358568	1169.6	887	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	scaffold_5	72536	76649	478.9	787	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	scaffold_26	1465	9058	871.9	702	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	scaffold_3	1033018	1036624	795.9	583	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Missing
20600at4751	Complete	scaffold_10	186848	190067	1269.5	764	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	scaffold_42	234637	238684	1133.8	905	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	scaffold_7	224295	233642	841.5	649	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	scaffold_2	1914373	1919276	718.9	799	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	scaffold_33	144620	148934	1252.2	832	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	scaffold_93	48265	51921	305.5	440	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Missing
23856at4751	Complete	scaffold_9	6029	10697	846.6	1015	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	scaffold_5	204179	209005	589.6	779	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	scaffold_16	82296	89459	877.0	727	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	scaffold_3	737313	740935	182.0	648	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	scaffold_20	83064	86835	1488.6	953	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	scaffold_47	28321	32822	447.9	537	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	scaffold_1	3073547	3080207	556.0	633	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	scaffold_21	397563	400880	228.6	543	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	scaffold_1	1680524	1684759	665.2	832	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	scaffold_2	852730	856340	815.8	676	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	scaffold_12	494584	497833	768.2	626	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Complete	scaffold_7	571942	580006	714.8	749	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	scaffold_1	1378619	1383922	919.5	852	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	scaffold_52	65648	70325	365.6	641	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	scaffold_12	582276	584721	806.7	606	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	scaffold_1	1523009	1526343	886.0	507	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
