DOMAIN	ACCESSION	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
WD40	PF00400.32	417	386	421	419	405	384	323	414	401
Pkinase	PF00069.25	223	230	239	236	240	222	227	220	220
Pkinase_Tyr	PF07714.17	205	212	218	214	215	207	196	204	200
Sel1	PF08238.12	109	164	170	166	167	163	164	168	219
RRM_1	PF00076.22	168	160	166	165	159	164	151	158	159
Mito_carr	PF00153.27	137	133	137	136	135	132	113	138	144
MFS_1	PF07690.16	137	119	132	111	136	120	96	123	134
Ank_2	PF12796.7	94	93	88	84	88	92	90	89	90
zf-C2H2	PF00096.26	109	99	81	72	76	113	67	95	91
Helicase_C	PF00271.31	92	86	89	85	92	90	79	88	89
MMR_HSR1	PF01926.23	83	73	75	74	81	84	63	77	85
Ank_4	PF13637.6	73	75	75	73	73	76	74	84	84
ABC_tran	PF00005.27	76	68	95	70	104	64	72	63	74
Ank	PF00023.30	68	64	74	74	74	66	69	81	81
AAA	PF00004.29	69	65	79	69	83	66	64	69	70
PPR_3	PF13812.6	68	70	73	73	73	67	67	64	68
Ras	PF00071.22	73	66	67	71	69	69	58	64	65
Arf	PF00025.21	72	63	70	70	70	68	46	68	69
Methyltransf_25	PF13649.6	62	64	73	62	72	63	57	65	60
DEAD	PF00270.29	66	64	63	61	66	63	59	63	64
Methyltransf_11	PF08241.12	61	63	70	61	71	60	59	64	59
SH3_1	PF00018.28	69	63	64	63	64	70	57	56	60
Roc	PF08477.13	69	57	61	63	61	62	47	61	63
Sugar_tr	PF00083.24	64	58	60	56	60	61	52	49	59
Ank_3	PF13606.6	54	51	53	51	51	54	53	51	49
SH3_9	PF14604.6	55	53	51	50	51	54	45	46	48
p450	PF00067.22	53	53	47	48	48	54	58	38	48
SH3_2	PF07653.17	52	46	51	49	51	53	43	45	51
ResIII	PF04851.15	51	46	48	45	53	52	44	51	49
Methyltransf_31	PF13847.6	51	47	56	42	50	44	41	50	46
PPR	PF01535.20	47	48	48	48	48	46	48	44	49
Methyltransf_23	PF13489.6	46	49	45	40	47	43	40	47	43
PUF	PF00806.19	48	34	48	48	49	43	34	49	47
Myb_DNA-binding	PF00249.31	41	47	46	46	47	42	40	35	41
adh_short	PF00106.25	41	41	47	39	54	41	35	39	36
F-box-like	PF12937.7	36	67	57	50	39	31	25	31	35
Ank_5	PF13857.6	38	43	43	40	39	44	43	39	41
AAA_5	PF07728.14	42	37	44	39	52	37	32	43	43
PPR_2	PF13041.6	44	43	37	37	37	42	42	39	46
Hydrolase	PF00702.26	37	38	43	38	43	38	35	40	43
Fungal_trans	PF04082.18	41	41	41	40	41	44	38	27	37
CBS	PF00571.28	42	38	45	39	50	37	32	35	31
adh_short_C2	PF13561.6	37	39	43	36	48	38	31	36	33
EF-hand_5	PF13202.6	35	41	37	38	37	39	38	38	38
C2	PF00168.30	37	39	39	38	38	37	32	38	40
Myb_DNA-bind_6	PF13921.6	31	39	39	39	39	36	36	35	36
PH	PF00169.29	37	36	40	40	36	39	35	33	30
Arm	PF00514.23	31	33	40	41	40	32	30	43	35
AMP-binding	PF00501.28	31	34	45	33	49	29	38	31	34
HAMP	PF00672.25	33	33	32	34	37	33	33	49	34
HLH	PF00010.26	36	36	36	36	35	40	35	29	32
E1-E2_ATPase	PF00122.20	35	33	34	34	36	33	30	37	37
Kinase-like	PF14531.6	33	31	36	37	37	30	27	36	41
ABC_membrane	PF00664.23	41	34	39	35	37	26	34	25	31
F-box	PF00646.33	31	47	44	38	29	28	24	26	30
Kelch_4	PF13418.6	45	34	33	30	32	32	24	28	26
Metallophos	PF00149.28	30	31	34	32	34	33	30	29	31
Ubie_methyltran	PF01209.18	30	30	35	31	33	30	24	35	34
RhoGAP	PF00620.27	29	33	33	33	32	28	30	31	31
KR	PF08659.10	31	31	32	29	37	31	26	32	30
Cyt-b5	PF00173.28	33	30	31	31	31	31	29	31	32
TPR_16	PF13432.6	34	23	34	30	37	28	25	33	32
Zn_clus	PF00172.18	31	37	34	32	27	33	22	25	28
Kinesin	PF00225.23	32	30	29	30	31	30	30	30	27
DnaJ	PF00226.31	29	29	32	29	31	31	26	31	31
NAD_binding_8	PF13450.6	35	29	31	28	29	34	27	27	28
Acetyltransf_1	PF00583.25	27	29	31	28	33	34	23	32	29
Gtr1_RagA	PF04670.12	34	28	29	30	27	33	20	29	35
EF-hand_1	PF00036.32	28	30	30	30	28	29	28	29	30
RhoGEF	PF00621.20	28	29	30	31	31	27	24	29	29
SNF2_N	PF00176.23	27	29	30	30	30	26	31	28	25
Aminotran_1_2	PF00155.21	30	25	32	27	37	27	26	25	26
Asp	PF00026.23	27	29	28	28	28	29	25	23	34
RabGAP-TBC	PF00566.18	29	29	27	28	27	34	23	26	26
Epimerase	PF01370.21	25	27	34	22	39	30	22	27	23
GATA	PF00320.27	26	34	33	34	34	27	20	20	20
PX	PF00787.24	28	29	30	30	29	28	25	24	25
EF-hand_8	PF13833.6	25	28	29	29	29	27	24	28	28
EF-hand_7	PF13499.6	25	29	28	26	25	30	26	28	29
TPR_8	PF13181.6	30	24	26	27	28	25	25	27	33
Bromodomain	PF00439.25	23	28	27	28	28	20	22	26	27
GTP_EFTU	PF00009.27	29	25	22	21	26	26	23	29	27
Chitin_synth_2	PF03142.15	23	24	27	27	27	24	26	25	25
LRR_8	PF13855.6	22	24	28	28	28	22	19	27	28
Methyltransf_12	PF08242.12	25	26	25	23	28	25	26	26	20
Pyr_redox_2	PF07992.14	24	26	27	22	29	24	25	24	23
AAA_lid_3	PF17862.1	23	25	25	25	25	24	22	26	25
bZIP_1	PF00170.21	26	29	28	25	24	28	27	13	19
Kelch_1	PF01344.25	29	21	29	28	29	25	17	19	22
ADH_zinc_N	PF00107.26	27	28	23	20	24	26	27	22	20
Abhydrolase_3	PF07859.13	26	25	25	24	24	23	26	22	22
KH_1	PF00013.29	22	24	24	22	24	25	29	23	23
Aa_trans	PF01490.18	24	22	23	26	26	24	21	25	24
zf-C3HC4	PF00097.25	29	32	25	25	23	29	17	17	17
HATPase_c	PF02518.26	19	19	34	19	39	19	18	20	20
Peptidase_S8	PF00082.22	20	22	24	24	24	22	21	23	26
bZIP_2	PF07716.15	23	26	27	25	24	23	23	15	19
Cation_ATPase	PF13246.6	23	22	22	22	22	22	22	25	24
RCC1	PF00415.18	23	22	24	23	26	24	22	19	20
Abhydrolase_1	PF00561.20	23	21	22	19	24	26	20	24	24
Acetyltransf_10	PF13673.7	20	23	23	22	26	25	18	23	22
Lipase_3	PF01764.25	27	24	21	24	24	24	23	19	16
Cation_ATPase_N	PF00690.26	27	22	20	19	20	23	21	25	24
Homeodomain	PF00046.29	22	28	23	25	25	22	22	17	16
UCH	PF00443.29	21	23	23	23	23	21	21	22	22
PPR_long	PF17177.4	23	21	20	20	20	21	23	23	25
SET	PF00856.28	22	22	24	23	24	21	19	21	20
zf-CCHC	PF00098.23	20	26	20	20	21	27	21	21	19
Glyco_tranf_2_3	PF13641.6	19	21	23	20	25	21	20	22	22
Kelch_3	PF13415.6	22	21	24	23	24	21	15	20	22
Fasciclin	PF02469.22	22	22	22	22	22	20	20	22	20
Microtub_bd	PF16796.5	23	21	21	21	20	24	14	24	23
AAA_2	PF07724.14	21	18	25	22	26	18	18	19	22
HMG_box	PF00505.19	22	23	22	23	22	24	20	15	18
WW	PF00397.26	20	23	24	23	23	20	15	18	22
Arrestin_N	PF00339.29	21	22	22	24	23	22	19	17	17
Acyl-CoA_dh_M	PF02770.19	20	20	22	21	21	20	20	21	22
RasGEF	PF00617.19	21	21	21	22	22	22	18	20	20
ubiquitin	PF00240.23	32	17	16	13	13	30	15	24	25
Pkinase_fungal	PF17667.1	22	16	21	21	21	21	16	22	24
Aldo_ket_red	PF00248.21	21	19	23	24	23	20	20	17	17
EF-hand_6	PF13405.6	20	22	19	20	18	22	21	19	21
Aldedh	PF00171.22	20	17	25	18	24	19	22	17	19
Kelch_5	PF13854.6	24	22	23	22	21	13	13	23	17
Polysacc_deac_1	PF01522.21	20	19	19	19	19	22	19	18	21
Methyltransf_4	PF02390.17	23	22	19	18	15	20	20	23	15
AA_permease_2	PF13520.6	21	18	22	19	23	18	14	19	20
Response_reg	PF00072.24	16	15	31	16	38	17	14	13	14
Acetyltransf_7	PF13508.7	17	19	23	20	25	22	16	16	16
FAD_binding_3	PF01494.19	17	18	21	20	26	24	16	14	17
Glyco_trans_2_3	PF13632.6	17	18	20	19	20	20	20	19	20
CH	PF00307.31	17	24	16	20	20	19	19	19	18
Clathrin	PF00637.20	20	19	19	19	19	19	18	20	19
HMG_box_2	PF09011.10	19	20	22	21	20	20	17	15	18
DAO	PF01266.24	20	17	22	20	19	17	14	20	22
zf-RING_2	PF13639.6	21	24	20	22	22	26	9	14	13
UQ_con	PF00179.26	19	16	20	20	20	20	15	19	20
Cyclin	PF08613.11	19	19	23	21	21	19	12	16	18
RuvB_N	PF05496.12	16	17	22	18	22	18	13	22	20
Cyclin_N	PF00134.23	17	16	22	25	19	20	13	17	17
Septin	PF00735.18	19	18	18	19	18	19	19	18	18
ADH_N	PF08240.12	20	21	16	15	18	20	20	18	17
ANAPC4_WD40	PF12894.7	19	18	18	18	19	18	12	20	22
NAD_binding_10	PF13460.6	22	21	15	13	18	17	16	24	18
UCH_1	PF13423.6	17	21	21	19	18	15	13	20	19
TPR_2	PF07719.17	20	14	20	20	20	15	16	18	18
Thioredoxin	PF00085.20	19	18	17	16	21	19	16	17	18
CotH	PF08757.11	17	17	12	20	19	18	18	18	21
Abhydrolase_6	PF12697.7	20	18	16	15	17	24	12	20	18
NUDIX	PF00293.28	15	18	22	17	21	18	15	16	16
HEAT	PF02985.22	21	21	13	15	14	19	19	18	18
EF-hand_4	PF12763.7	16	19	21	20	18	16	13	16	18
SPX	PF03105.19	20	18	16	18	16	17	17	18	17
BTB	PF00651.31	16	20	19	19	18	16	18	16	14
HSP70	PF00012.20	16	17	20	19	21	11	18	17	17
Hydrolase_4	PF12146.8	18	17	17	15	18	20	12	18	19
PHD	PF00628.29	13	21	19	16	17	15	16	15	18
AA_permease	PF00324.21	18	17	19	15	19	17	12	15	15
EamA	PF00892.20	17	11	19	16	22	16	9	18	18
Acyl-CoA_dh_1	PF00441.24	16	16	17	16	16	16	16	16	17
